epoch,lr-Adam,step,train_loss_epoch/forces_mse,train_loss_epoch/per_atom_energy_mse,train_loss_epoch/weighted_sum,train_loss_step/forces_mse,train_loss_step/per_atom_energy_mse,train_loss_step/weighted_sum,val0_epoch/forces_mae,val0_epoch/forces_rmse,val0_epoch/per_atom_energy_mae,val0_epoch/per_atom_energy_rmse,val0_epoch/total_energy_mae,val0_epoch/total_energy_rmse,val0_epoch/weighted_sum
81.0,,583511,0.012515673247242572,6.652992432729397e-05,0.011383932945159363,,,,,,,,,,
82.0,,583999,,,,0.009895600528780536,0.00013374372279636106,0.009008159000963792,,,,,,,
83.0,,597743,0.012500657133758109,6.609018842220865e-05,0.011370241956909392,,,,,,,,,,
84.0,,597999,,,,0.01283164848734771,4.6576955269240706e-05,0.011669369257158758,,,,,,,
85.0,,604999,,,,0.012775538167102156,5.704888942610532e-05,0.011619311869131605,,,,,,,
86.0,,611999,,,,0.011086455452748986,0.000128513286808503,0.010090278892208942,,,,,,,
87.0,,619999,,,,0.012744458432248388,6.695953331834727e-05,0.011591958532345658,,,,,,,
88.0,,627999,,,,0.013289547634150887,3.0354638608602422e-05,0.012084166452737952,,,,,,,
89.0,,640439,0.012419261181003914,6.262853897098626e-05,0.0112959309408191,,,,,,,,,,
90.0,,640999,,,,0.010347578055972235,7.618810936826578e-05,0.009413815333553692,,,,,,,
91.0,,647999,,,,0.014372855779878626,6.595022505097351e-05,0.013072228002167022,,,,,,,
92.0,,655999,,,,0.01182562314920836,6.657065246153723e-05,0.010756618376776831,,,,,,,
93.0,,665999,,,,0.012635592391546407,0.00015653941369260215,0.011501133029923331,,,,,,,
94.0,,671999,,,,0.012359438865162864,6.30171830606813e-05,0.01124158234860812,,,,,,,
95.0,,679999,,,,0.010237874970763216,0.00010691205110270853,0.009316878341703172,,,,,,,
96.0,,686999,,,,0.010276725238494443,4.0240075984544734e-05,0.009346135678266271,,,,,,,
97.0,,690999,,,,0.009845019646478024,2.1720767822190938e-05,0.00895199247569113,,,,,,,
98.0,,697999,,,,0.011675856429544796,2.3873229368055663e-05,0.010616585229528729,,,,,,,
99.0,,704999,,,,0.012579725797089979,8.624793288283309e-05,0.011443955082162055,,,,,,,
100.0,,711999,,,,0.012374045228432613,8.40106537802803e-05,0.011256769358009674,,,,,,,
101.0,,718999,,,,0.011873238842873585,2.269284577842913e-05,0.010795916479501295,,,,,,,
102.0,,725999,,,,0.011147637529780844,3.8641689417362376e-05,0.010137728817020526,,,,,,,
103.0,,732999,,,,0.011836666176131648,9.535762025785247e-05,0.010769274489234029,,,,,,,
104.0,,740999,,,,0.015018570351728272,3.328839160100875e-05,0.013656271991716705,,,,,,,
105.0,,747999,,,,0.012668629231183885,3.5720577503020926e-05,0.01152018298994017,,,,,,,
106.0,,754999,,,,0.012565970527122616,3.508283335318127e-05,0.01142679891859812,,,,,,,
107.0,,761999,,,,0.010580472079308732,0.00016824244281423114,0.009633905748718322,,,,,,,
108.0,,771999,,,,0.011974685904120402,3.29728752518227e-05,0.010889075628768714,,,,,,,
109.0,,782759,0.012341121937710569,5.9713588662902504e-05,0.011224630269615326,,,,,,,,,,
110.0,,786999,,,,0.01328544095978333,1.844714166746121e-05,0.012079350612681887,,,,,,,
